benchmark,algorithm,time
npuzzle_5x5_len3_0.txt,bfs,0.2219
npuzzle_5x5_len3_0.txt,dfs,0.2347
npuzzle_5x5_len3_0.txt,astar,0.2451
npuzzle_4x4_len7_0.txt,bfs,0.2381
npuzzle_4x4_len7_0.txt,dfs,0.2198
npuzzle_4x4_len7_0.txt,astar,0.2403
npuzzle_4x4_len8_6.txt,bfs,0.2556
npuzzle_4x4_len8_6.txt,dfs,0.2284
npuzzle_4x4_len8_6.txt,astar,0.231
npuzzle_4x4_len7_8.txt,bfs,0.2465
npuzzle_4x4_len7_8.txt,dfs,0.2304
npuzzle_4x4_len7_8.txt,astar,0.242
npuzzle_3x3_len3_1.txt,bfs,0.2663
npuzzle_3x3_len3_1.txt,dfs,0.2492
npuzzle_3x3_len3_1.txt,astar,0.2301
npuzzle_3x3_len5_1.txt,bfs,0.2206
npuzzle_3x3_len5_1.txt,dfs,0.2229
npuzzle_3x3_len5_1.txt,astar,0.2325
npuzzle_3x3_len3_5.txt,bfs,0.2319
npuzzle_3x3_len3_5.txt,dfs,0.2225
npuzzle_3x3_len3_5.txt,astar,0.2204
npuzzle_3x3_len4_9.txt,bfs,0.2489
npuzzle_3x3_len4_9.txt,dfs,0.223
npuzzle_3x3_len4_9.txt,astar,0.2249
npuzzle_5x5_len1_7.txt,bfs,0.2216
npuzzle_5x5_len1_7.txt,dfs,0.2136
npuzzle_5x5_len1_7.txt,astar,0.2118
npuzzle_5x5_len1_4.txt,bfs,0.275
npuzzle_5x5_len1_4.txt,dfs,0.2349
npuzzle_5x5_len1_4.txt,astar,0.2171
npuzzle_4x4_len10_4.txt,bfs,0.2378
npuzzle_4x4_len10_4.txt,dfs,0.2527
npuzzle_4x4_len10_4.txt,astar,0.239
npuzzle_5x5_len10_1.txt,bfs,0.2217
npuzzle_5x5_len10_1.txt,dfs,0.217
npuzzle_5x5_len10_1.txt,astar,0.255
npuzzle_3x3_len6_2.txt,bfs,0.2475
npuzzle_3x3_len6_2.txt,dfs,0.2322
npuzzle_3x3_len6_2.txt,astar,0.2322
npuzzle_3x3_len5_0.txt,bfs,0.2386
npuzzle_3x3_len5_0.txt,dfs,0.3052
npuzzle_3x3_len5_0.txt,astar,0.3447
npuzzle_5x5_len8_8.txt,bfs,2.6096
npuzzle_5x5_len8_8.txt,dfs,0.2711
npuzzle_5x5_len8_8.txt,astar,0.2083
npuzzle_4x4_len10_8.txt,bfs,0.2293
npuzzle_4x4_len10_8.txt,dfs,0.2233
npuzzle_4x4_len10_8.txt,astar,0.2349
npuzzle_4x4_len3_7.txt,bfs,0.2552
npuzzle_4x4_len3_7.txt,dfs,0.2382
npuzzle_4x4_len3_7.txt,astar,0.2351
npuzzle_5x5_len6_5.txt,bfs,0.231
npuzzle_5x5_len6_5.txt,dfs,0.2241
npuzzle_5x5_len6_5.txt,astar,0.2361
npuzzle_3x3_len10_9.txt,bfs,0.2251
npuzzle_3x3_len10_9.txt,dfs,0.2182
npuzzle_3x3_len10_9.txt,astar,0.241
npuzzle_4x4_len10_0.txt,bfs,0.5351
npuzzle_4x4_len10_0.txt,dfs,0.2527
npuzzle_4x4_len10_0.txt,astar,0.2128
npuzzle_5x5_len2_0.txt,bfs,0.2121
npuzzle_5x5_len2_0.txt,dfs,0.2391
npuzzle_5x5_len2_0.txt,astar,0.2301
npuzzle_4x4_len3_1.txt,bfs,0.2312
npuzzle_4x4_len3_1.txt,dfs,0.2978
npuzzle_4x4_len3_1.txt,astar,0.334
npuzzle_4x4_len7_4.txt,bfs,0.2249
npuzzle_4x4_len7_4.txt,dfs,0.2143
npuzzle_4x4_len7_4.txt,astar,0.2115
npuzzle_4x4_len9_2.txt,bfs,0.2243
npuzzle_4x4_len9_2.txt,dfs,0.2327
npuzzle_4x4_len9_2.txt,astar,0.2273
npuzzle_4x4_len8_8.txt,bfs,0.2323
npuzzle_4x4_len8_8.txt,dfs,0.2324
npuzzle_4x4_len8_8.txt,astar,0.234
npuzzle_4x4_len6_2.txt,bfs,0.2679
npuzzle_4x4_len6_2.txt,dfs,0.2444
npuzzle_4x4_len6_2.txt,astar,0.2313
npuzzle_4x4_len6_4.txt,bfs,0.2527
npuzzle_4x4_len6_4.txt,dfs,0.2469
